name,dateCreated,locationCreated,author,contentLocation,genre,religiousEvent
Khalid Nabi Cemetery,Paleolithic Period ,"Golestan Province, Iran",,Gonbad-e Kavous,Architecture,YES
Al-Masala Obelisk,XX century B.C.,"Heliopolis, Egypt",,Cairo,Architecture,
Min at Karnak Temple,XIX century B.C.,"Luxor, Egypt",,Egypt,Sculpture,YES
Kokopelli,IX-VIII century B.C.,"New Mexico, United States",,USA,Painting,YES
Statue of Priapo,late III century B.C.,"Ephesus Museum, Turkey",,Siracusa,Sculpture,YES
"Poenulus (""The Little Carthaginian"")",II century B.C.,,Plautus,Roma,literary work,
Fresco of Priapus ,I century B.C.,"Pompei, Italy",,Pompei,Fresco,YES
Testa di Priapo,I century BD,"Museo Barracco, Italy",,Roma,roman or greek sculpture ,YES
L’affresco di un Priapo,NO DATE ,"Pompei, Italy",,Roma,Fresco,YES
Tintinnabulum,I century AD,"Museo Archeologico Nazionale di Napoli, Italy",,Roma,Little bronze statue with bells,YES
Venere con Bikini D’Oro,I century A.C.,"Museo Archeologico Nazionale di Napoli, Italy",,Pompei,Statue ,YES
Epigram of a Fascinus,II century A.D.,"Leptis Magna, Libya",,Cartago,Epigram ,YES
Phallic Saints,Middle Ages,"Engreux, Belgium",,Europe,Statue,YES
"Boccaccio, Biblioteca Medicea Laurenziana, Plut. 33 31 (Carmina Priapea Fragments)",XIV century,"Biblioteca Medici, Italy",Boccaccio,Roma,literary work ,YES
La Lisistrata,XVI century AD,,Aristophanes,Greece,literary work ,
Due Amanti davanti il busto di Priapo,XVIII-XIX century ,"Galleria dei Coronari, Roma",Louis Vincent Leon Palliere,Bordeaux,Painting,
Ypsilanti Water Tower,XIX century ,"Michigan, United States",William R. Coats,Ypsilanti,Architecture,
Torre Glòries,XXI century ,"Cataluña, Spain",Jean Nouvel,Barcelona,Architecture,
